result_0.186_185,1.197,0.497,-0.067,-0.472,0.055,0.019,0.077,-0.609,0.158,0.057,0.097,0.587,-0.039,0.386,0.484,0.079,0.042,-0.001,-0.086,0.607,0.815,-0.066,0.084,0.054,-0.010,-0.003,0.479,0.136,0.035,0.345,-0.094,0.419,0.050,-0.001,-0.751,0.057,0.038,0.614,0.026,-0.000,0.367,-0.118,0.164,0.039,-0.437,
result_0.186_48,1.290,0.650,-0.279,-0.042,0.089,-0.002,0.065,-0.412,0.250,0.013,0.064,0.663,-0.349,-0.002,0.021,-0.004,-0.001,-0.001,-0.155,0.695,0.486,-0.183,0.027,0.076,0.037,0.044,0.102,0.064,0.056,0.000,-0.084,0.473,0.373,-0.001,-0.176,0.189,0.020,1.006,0.021,0.011,0.012,-0.024,0.029,0.195,-0.984,
result_0.187_294,1.339,-0.004,-0.079,-0.685,0.009,0.690,0.063,-0.439,0.014,0.099,0.042,0.629,-0.061,0.324,0.468,0.243,0.581,-0.078,-0.233,-0.004,0.424,-0.778,0.066,0.382,0.112,-0.006,0.051,0.005,0.041,-0.005,-0.113,0.382,0.063,-0.154,-0.127,0.018,0.398,0.770,0.139,0.320,0.016,-0.276,0.050,0.035,-0.146,
result_0.188_106,1.312,0.229,-0.263,-0.762,0.044,0.046,0.001,-0.904,0.011,0.153,0.011,0.633,-0.003,0.142,0.022,1.075,0.149,-0.001,-0.016,0.711,0.172,-0.003,0.001,0.055,0.006,0.621,0.318,0.002,0.056,0.127,-0.056,0.364,0.117,-0.001,-0.018,0.318,0.247,0.207,0.151,0.009,0.133,-0.043,0.008,0.168,-0.070,
result_0.188_190,1.341,0.499,-0.725,-0.411,0.139,0.207,0.113,-0.463,0.095,0.048,0.047,0.515,-0.275,1.230,-0.008,0.102,0.038,-0.012,-0.087,0.281,0.017,-0.467,0.062,0.285,0.520,-0.013,0.031,0.015,0.052,0.091,-0.321,0.069,0.070,-0.013,-0.130,0.102,0.051,0.159,0.071,0.037,0.048,-0.021,0.017,0.430,-0.148,
result_0.188_214,1.361,0.714,-0.290,-0.052,0.225,0.241,0.011,-0.312,0.062,0.008,0.003,-0.025,-0.392,0.876,0.590,0.805,0.007,-0.001,-0.031,0.032,0.160,-0.501,0.106,0.023,-0.020,0.021,0.254,0.316,0.048,0.060,-0.328,0.159,0.346,-0.002,-0.306,0.009,0.015,0.493,0.007,0.241,0.010,-0.466,0.086,0.069,-0.674,
result_0.188_225,0.849,-0.049,-0.491,-0.572,0.152,0.365,0.088,-0.369,0.080,0.094,0.003,0.611,-0.562,-0.041,0.453,0.827,0.251,-0.001,-0.006,0.475,0.129,-0.014,0.028,0.158,-0.009,-0.045,1.071,0.018,0.062,0.790,-0.216,0.128,0.099,-0.008,-0.443,0.275,0.075,0.087,0.263,0.496,0.213,-0.244,0.122,0.147,-0.295,
result_0.188_237,1.326,0.628,-0.236,-0.649,0.140,0.833,0.013,-0.062,0.012,0.188,0.036,-0.022,-0.458,0.296,0.178,0.064,0.010,-0.001,-0.688,0.001,0.004,-0.142,0.046,0.040,0.092,0.651,0.339,0.172,0.063,0.013,-0.004,0.290,0.242,-0.001,-0.527,0.267,0.031,0.988,0.137,-0.021,0.237,-0.082,0.049,0.071,-0.019,
result_0.188_259,0.790,0.003,-0.147,-0.079,0.026,-0.009,0.023,-0.014,0.028,0.051,0.012,0.001,-0.804,-0.009,0.001,0.179,-0.003,-0.003,-0.157,-0.000,0.702,-0.380,0.012,0.018,0.389,0.786,0.998,0.021,0.036,1.074,-0.194,0.497,0.318,-0.002,-0.124,0.327,0.047,-0.006,0.164,0.001,0.253,-0.116,0.011,0.059,-0.681,
result_0.188_7,1.254,0.854,-0.168,-0.223,0.013,0.849,0.006,-0.899,0.002,0.036,0.011,0.110,-0.556,0.459,0.137,0.200,0.158,-0.000,-0.095,0.558,0.328,-0.351,0.005,0.343,0.105,0.030,0.325,0.003,0.066,0.424,-0.427,0.573,0.187,-0.000,-0.002,0.044,0.024,0.431,0.003,0.108,0.013,-0.009,0.010,0.375,-0.003,
result_0.189_108,1.076,0.263,-0.196,-0.240,0.141,0.630,0.016,-0.348,0.104,0.038,0.055,0.323,-0.533,0.103,0.075,0.480,0.222,-0.106,-0.628,0.153,0.061,-0.109,0.098,0.374,0.180,0.756,0.734,0.035,0.260,0.935,-0.210,0.282,0.234,-0.148,-0.218,0.080,0.150,0.169,0.037,0.040,0.122,-0.504,0.044,0.279,-0.258,
result_0.189_119,1.335,-0.024,-0.029,-0.629,0.009,1.288,0.069,-0.514,0.254,0.114,0.024,0.530,-0.011,0.104,0.427,0.041,0.097,-0.001,-0.858,0.060,0.118,-0.033,0.011,0.001,0.497,0.210,0.010,0.033,0.042,0.096,-0.015,0.348,0.056,-0.001,-0.013,-0.001,0.226,0.042,0.118,0.397,0.129,-0.011,0.196,0.204,-0.041,
result_0.189_127,1.372,0.575,-0.025,-0.796,0.112,0.000,0.021,-0.288,0.038,0.022,0.013,0.520,-0.053,1.059,0.001,0.100,0.001,-0.000,-0.094,0.533,0.001,-0.249,0.012,0.047,0.009,0.010,0.205,0.199,0.357,0.378,-0.183,0.054,0.102,-0.013,-0.722,0.018,0.150,0.511,0.025,0.537,0.033,-0.420,0.266,0.096,-0.090,
result_0.189_132,0.719,0.272,-0.271,-0.257,0.090,0.961,0.014,-0.591,0.013,0.063,0.035,0.641,-0.447,-0.018,-0.015,0.516,-0.001,-0.001,-0.220,0.673,-0.010,-0.364,0.344,0.011,-0.036,-0.004,0.857,0.025,0.152,-0.001,-0.057,0.760,0.054,-0.001,-0.530,0.016,0.065,0.134,0.164,0.622,0.279,-0.076,0.055,0.182,-0.454,
result_0.189_170,0.872,0.148,-0.012,-0.408,0.037,0.087,0.221,-0.007,0.147,0.013,0.014,0.475,-0.262,0.003,0.153,0.571,0.709,0.000,-0.258,0.806,0.373,-0.330,0.041,0.131,0.107,0.677,0.987,0.060,0.154,0.016,-0.636,0.231,0.102,0.000,-0.336,0.128,0.085,0.004,0.032,0.319,0.341,-0.207,0.017,0.006,-0.588,
result_0.189_210,1.255,0.003,-0.229,-0.014,0.167,0.028,0.169,-0.671,0.170,0.015,0.023,0.135,-0.284,0.045,0.856,0.510,0.649,-0.002,-0.406,0.133,0.514,-0.361,0.004,0.120,0.001,0.043,0.293,0.006,0.203,0.397,-0.183,0.367,0.098,-0.001,-0.337,0.204,0.248,0.730,0.185,0.237,0.013,-0.481,0.060,0.090,-0.304,
result_0.189_227,1.326,0.005,-0.135,-0.054,0.073,0.419,0.204,-0.548,0.231,0.379,0.066,0.406,-0.009,0.139,0.686,0.341,0.314,-0.004,-0.165,0.159,0.053,-0.130,0.127,0.002,0.113,0.005,0.045,0.016,0.096,1.057,-0.524,0.069,0.102,-0.003,-0.494,0.001,0.059,0.186,0.038,0.492,0.131,-0.054,0.004,0.075,-0.634,
result_0.189_265,1.193,0.036,-0.220,-0.617,0.106,-0.000,0.027,-0.088,0.036,0.004,0.019,0.010,-0.254,0.937,0.035,0.862,0.083,-0.020,-0.249,0.285,-0.000,-0.088,0.001,0.024,0.007,0.877,0.696,0.040,0.037,-0.000,-0.229,0.087,0.082,-0.106,-0.218,0.354,0.023,0.000,0.214,0.032,0.213,-0.370,0.021,0.251,-0.791,
result_0.189_286,1.025,0.181,-0.051,-0.588,0.006,0.609,0.003,-0.049,0.037,0.068,0.002,0.048,-0.022,0.183,0.506,0.439,0.459,-0.075,-0.562,0.367,0.522,-0.051,0.331,0.019,0.245,0.026,0.417,0.001,0.176,0.619,-0.722,0.759,0.010,-0.195,-0.028,0.228,0.387,0.025,0.024,0.678,0.027,-0.329,0.001,0.177,-0.181,
